ITGAL	LSP1
CIP2A	TK1
PTPN7	TNFAIP8
DGKA	IL16
SNRNP27	HDGFL2
ISOC2	MCEE
DIDO1	SIN3A
HMGCL	PC
HAVCR2	LAPTM5
MSR1	FERMT3
WDR83OS	PET100
PKD1	GLI4
COPB1	RPL13
CRNKL1	INTS4
TLR2	SLA
AQR	GTF3C1
SERPING1	C1QA
ALDH5A1	IDH3A
RSRC1	TBL1XR1
PRPF19	RBM25
MED1	NIPBL
CCDC6	CACUL1
SART3	NUP88
C1orf35	NXF1
PTBP1	HNRNPA3
PPP4C	PPP4R2
NOL8	RBM12
PPP4R3A	SRSF3
COPZ2	MMP2
KIF23	GEN1
WDR83OS	NDUFS7
SFRP4	HTRA1
CENPQ	C4orf46
POU2F2	LAT
SF3B4	RNPS1
RRM1	NT5DC2
LETM1	MTX1
THOC1	PQBP1
C1orf162	LY96
UBR7	POLD3
PCNP	DR1
PDXDC1	COPG1
UTP4	NHP2
RTF1	CIR1
RAC2	GRK6
CALHM5	ITGA1
CDCA5	FANCB
PSMC5	ACP1
SPTB	TANGO2
LARS2	HSD17B10
RSU1	FBLN2
RPL13A	DDX21
CANX	EMC7
MAD1L1	PNISR
RPS21	YTHDF3
WARS2	HADH
TMPO	ARHGAP11A
FBXO46	ZNF628
FAM162A	ETFDH
RPL23	FAU
SGO1	RFC3
NOL10	BOP1
SLC25A3	HSPA9
PRPF8	RBM14
GZMB	CD3E
SMCHD1	POLR2A
ACAP1	TLR8
CD5L	SHBG
SF3B2	SAE1
DEK	TRRAP
BATF	CTSS
C9orf40	HMBS
MRPL22	TFB2M
SNRPA	SREK1
IL7R	GPR183
PPP1R8	RBM12
CPSF1	HNRNPM
CD27	GZMM
DDX10	DDX47
SLTM	BRPF1
MRPL19	ERAL1
TTK	HELLS
HPF1	PSIP1
SCFD1	FAM177A1
CD163	NAIP
LTBP3	ADAMTSL1
DDX5	GTF3C5
LILRB2	BATF
SRSF3	SRSF7
MYO1F	C1QC
TRAF3IP3	MAP4K1
NID2	COL6A2
DBT	NFS1
CHD8	NOP9
WIZ	SF3B6
CEP55	DIAPH3
NDUFS4	NDUFS3
UBAP2L	SRP9
RBM28	LYAR
POLR1B	BOP1
FAM207A	FAM174C
ZWINT	KPNA2
TIPIN	AURKA
ALOX5	C1QB
TRIP13	SKP2
SRP9	POLR2K
CYLD	SNX20
HNRNPC	SRSF11
JAML	PIK3R6
ISOC1	EPHX2
OAS2	SLFN5
BRD4	SF3B3
SGO2	MTBP
RAE1	TRA2B
POLR2J	BET1
CLC	CAMP
SNRPD3	SSB
PDCD5	PFDN1
DCN	AKAP12
PDLIM4	GSN
RFC1	PQBP1
ACTL6A	SF3B3
ACTR1B	DCTN1
F13A1	LYVE1
RARS1	RPS4X
UNC13D	LCP1
LRPPRC	MRPL52
SF3B6	SAFB2
FANCI	RFC4
INTS7	GTF2F2
PNISR	CHAMP1
HYOU1	DDOST
ZC3H18	KIAA1143
GNL2	DHX37
POLA2	TICRR
BTK	STX11
CD244	RGS18
MRPS22	AURKAIP1
CD2	NLRC5
MTIF2	IMMT
PRDM15	ZNF335
PAF1	RANBP2
SEPTIN8	PHLDA3
ZNF549	ZNF529
ITIH2	APOA2
CFAP53	C1orf194
MRPL24	MTERF3
FNDC3B	SERPINH1
PARVG	TOR4A
MRPS27	MRPL35
ACAP1	SNX20
UBA2	DDX39B
GYPA	HBD
ISCA1	SLC25A25
WDFY4	GPR183
GAB3	NAIP
EEF1AKNMT	BPNT1
MMRN1	AHSP
COPB2	TMED9
RPN2	PDIA4
